,address_id,leasable_square_foot,description,features,neighborhood,slug,features_fmt,latitude,longitude,RETAIL_plus_mean_rad,RETAIL_minus_mean_rad,RESTAURANT_plus_mean_rad,RESTAURANT_minus_mean_rad,FITNESS_plus_mean_rad,FITNESS_minus_mean_rad,BEAUTY_plus_mean_rad,BEAUTY_minus_mean_rad,BANK_plus_mean_rad,BANK_minus_mean_rad,PHARMACY_plus_mean_rad,PHARMACY_minus_mean_rad,MEDICAL_plus_mean_rad,MEDICAL_minus_mean_rad,BAR-CAFE_plus_mean_rad,BAR-CAFE_minus_mean_rad
0,106,10400.0,"The unit is an approximately 10,400 square foot retail space with 112 feet of street frontage, 18 foot high ceilings and large windows in a beautifully converted historic building. Also included with the ground floor retail space is approximately 5,000 square feet of lower level space.","{Prime Frontage,Excellent Visibility,High Foot Traffic,High Ceilings,1st Floor Space,Near Public Transit,Fast Growing Area}",Long Island City,5-33-48th-ave-long-island-city-ny,"['Prime Frontage', 'Excellent Visibility', 'High Foot Traffic', 'High Ceilings', '1st Floor Space', 'Near Public Transit', 'Fast Growing Area']",40.7445307,-73.95464816694928,,0.24704129622917423,0.24704129622917423,,0.24704129622917423,,0.24704129622917423,,0.24704129622917423,,0.24704129622917423,,0.24704129622917423,,0.24704129622917423,
1,105,2600.0,"Retail space available for lease in Chinatown. The property features 2,600 sf of ground floor space along with a 2,600 sf basement, 2,600 sf sub-basement, and rooftop billboard. The space has a new glass storefront and is surrounded by banks and national retailers.","{1st Floor Space,Near Public Transit}",Manhattan,151-canal-st-new-york-ny,"['1st Floor Space', 'Near Public Transit']",40.7165377,-73.9955579,0.3273812628016985,0.3805784715183311,0.33033418608412446,0.35147731306920893,0.33033828373780244,,0.34051174457857847,0.30388728555178485,0.3584061603189999,0.29913985599162013,0.3255354334680156,0.3644605929900713,0.34051174457857836,0.2671145707714134,0.34656171340099523,0.3143203244301224
2,104,17100.0,"Retail space available for lease in SoHo. Space A has 4,900 sf of ground floor space and a 3,850 sf lower level, and Space B has 4,500 sf of ground floor space and a 3,850 sf lower level. Each space has 30′ of frontage along Wooster Street, 14′ ceilings on the ground floor, and 9′ ceilings on the lower level. Spaces are in excellent condition with excellent infrastructure including: HVAC, internal elevator, skylights, and windows in the rear. Each space has 400 Amps along with 16 tons HVAC on Ground Floor plus 12 tons HVAC on Lower Level. Selling Lower Level. Neighbors include: Canada Goose, Tiffany & Co., Woolrich, One King’s Lane, Chanel, Ray-Ban, Rossignol, Mackage, The Real Real, Céline, and Gucci.","{Prime Frontage,High Ceilings,Near Public Transit}",Manhattan,105-wooster-st-new-york-ny,"['Prime Frontage', 'High Ceilings', 'Near Public Transit']",40.7248411,-74.0006739,0.32733110124030607,0.2977275365955611,0.2823011999463043,0.3398248794517621,0.3246484950465831,,0.3001801704315796,0.4143656853015962,0.31737296326178827,0.3067205273276287,0.3001801704315796,,0.3001801704315796,,0.3155975572727616,0.18396686227729053
3,203,625.0,"Retail space available in SoHo along Greenwich Street. The property features a decorative fireplace and a 675 sf basement in addition to 625 sf of ground floor space. Asking rent is $7,800 per month.",{1st Floor Space},Manhattan,510-greenwich-st-new-york-ny,['1st Floor Space'],40.72577285,-74.00930955,0.3023461784516806,0.3664359462228193,0.31871082431471487,0.4127922524499253,0.31871082431471487,,0.31871082431471487,,0.37802502277959577,0.2471231414525583,0.31871082431471487,,0.31871082431471487,,0.33439106233724997,
4,202,700.0,Retail space available in the West Village with 15′ of frontage along a beautiful stretch of Bleecker Street.,"{Excellent Visibility,1st Floor Space}",Manhattan,413-bleecker-st-new-york-ny,"['Excellent Visibility', '1st Floor Space']",40.73636735,-74.00507714586243,0.32088749236595443,0.25209746306831404,0.3191523299015895,0.30423621819669544,0.3040441930479318,,0.3054685840988061,0.2940734556918116,0.29238650112206327,0.33604349674416484,0.30695233769811214,0.3277248880883964,0.3054685840988061,0.3277248880883964,0.30479277053958415,0.38586732971018084
5,201,2000.0,"Retail space available 10/21 in NoLita with 22′ of frontage along Elizabeth Street. Retail: 2,000 sf; Lower Level: 2,000 sf; Second Floor: 1,250 sf","{Prime Frontage,Near Public Transit}",Manhattan,258-elizabeth-st-new-york-ny,"['Prime Frontage', 'Near Public Transit']",40.7238084,-73.9935942,0.3485143032411993,0.3287946835965684,0.34048218261932184,0.3495550788057283,0.3233115524373971,0.43825483782335506,0.3344115388153029,0.30487243167778705,0.33962619414047784,0.32599996049490854,0.3279213326272996,,0.3279213326272996,,0.3371929381323405,0.4409689825554993
6,200,23529.0,"Retail space available 10/20 with approximately 51′ of frontage along Madison Avenue in the Plaza District. The space features 11′ ceilings on the lower level, 14’6″ ceilings on the ground floor, and 10′ ceilings on Floors 2-4.","{Prime Frontage,High Ceilings}",Manhattan,601-madison-ave-new-york-ny,"['Prime Frontage', 'High Ceilings']",40.762519850000004,-73.97181703733835,0.30733920686002436,0.30571442448914066,0.3057763025666789,0.2835643955940872,0.3073579787684653,,0.30697497621275244,0.36710637745968205,0.3021704198659321,0.3071710620364254,0.30852525459600144,,0.30697497621275244,0.3689861115427165,0.30638971169728574,0.11878321377921222
7,197,350.0,Retail space available in Midtown East with 12′ of frontage along Madison Avenue.,"{1st Floor Space,Near Public Transit}",Manhattan,609-madison-ave-new-york-ny-2,"['1st Floor Space', 'Near Public Transit']",40.6774777,-73.53352405111977,,,,,,,,,,,,,,,,
8,199,3000.0,"Multi-level retail space available in the Meatpacking District. Retail: 3,000 sf; Basement: 3,000 sf; Mezzanine: 2,150 sf; Second Floor: 2,600 sf",{Near Public Transit},Manhattan,407-w-14th-st-new-york-ny,['Near Public Transit'],42.72546708163265,-73.70540353061224,,,,,,,,,,,,,,,,
9,198,1200.0,"Retail space available in Midtown with 12′ of frontage along 6th Avenue and 20′ of signage. The property features 12′ ceilings and a 1,200 sf basement in addition to 1,200 sf of ground floor space.","{High Ceilings,Near Public Transit}",Manhattan,884-6th-ave-new-york-ny,"['High Ceilings', 'Near Public Transit']",40.7481118,-73.988787,0.36913608159570355,0.3502632565780557,0.3658957120666242,0.34963594591279595,0.3671374797528697,0.4153878880901355,0.3663700051710035,0.46527373591143956,0.3501064289117407,0.37480860725379384,0.3623969985964326,,0.36560410075039207,0.29397881931196407,0.3638298613239924,0.37522727418605306
